"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.830030667E0,-1.148340777E-1,1.350701690E0,-9.077121019E-1
8.930144667E0,5.654047802E-2,-1.098581195E0,-1.723966241E0
9.030257667E0,1.028806493E-1,2.723793089E-1,4.014521539E-1
9.130370667E0,-4.519517124E-1,2.762020350E0,1.729359865E0
9.230485000E0,4.021644965E-2,-1.450218439E0,-1.733848751E-1
9.330598000E0,3.940658867E-1,-1.371705830E-1,-1.009320378E0
9.430711000E0,4.730875045E-2,1.071753979E0,-5.666124225E-1
9.530824000E0,5.985573530E-1,-6.933624744E-1,1.960907131E-1
9.630938000E0,3.730655909E-1,-6.383072734E-1,-4.261191934E-2
9.731051000E0,-1.518586725E-1,-2.366732597E0,2.096592635E-1
9.831164000E0,3.289322183E-2,-2.643482924E0,6.731905937E-1
9.931278000E0,7.858105898E-1,-1.564485908E0,1.663163066E0
1.003139100E1,3.595749438E-1,2.999072969E-1,3.350308836E-1
1.013150400E1,-2.952410877E-1,-3.066266701E-2,-7.915729880E-1
1.023161825E1,-1.580437422E0,9.498865008E-1,-2.044158936E0
1.033173125E1,7.179896533E-2,2.899800062E0,-1.451130211E-1
1.043184425E1,7.319411635E-1,-4.269924164E-1,1.689870477E0
1.053195825E1,3.162882328E-1,-2.459923923E-1,-2.466039509E-1
1.063207125E1,-9.756749868E-1,4.189377129E-1,-1.250943184E0
1.073218425E1,-6.672855616E-1,-9.914034009E-1,-6.856456995E-1
1.083229825E1,7.493563294E-1,-1.267422676E0,1.287816048E0
1.093241125E1,5.821294785E-1,-9.622878432E-1,1.813748479E-1
1.103252425E1,-5.330512524E-1,6.589004397E-1,-1.098740101E0
1.113263825E1,-1.145679832E0,1.131951213E0,-1.248706698E0
1.123275087E1,4.894753397E-1,-7.955170870E-1,1.961452842E0
1.133286387E1,5.744701624E-1,-5.263249949E-2,1.196555972E0
1.143297787E1,-1.996352524E-2,-8.755538613E-2,-2.728114724E-1
1.153309087E1,-9.469331503E-1,1.231181383E0,-9.568445683E-1
1.163320387E1,-6.139529347E-1,1.363990903E0,-1.361769557E0
1.173331787E1,4.617497921E-1,-6.226745844E-1,5.874574184E-1
1.183343087E1,7.430291772E-1,3.000868559E-1,6.196253896E-1
1.193354387E1,1.812622994E-1,3.022532225E0,5.828854442E-1
1.203365787E1,-2.494104058E-1,2.736127853E0,7.688677907E-1
1.213377087E1,-2.942397296E-1,7.296860218E-2,1.661854535E-1
1.223388367E1,4.994258657E-2,7.797603011E-1,-1.889173687E-1
1.233399767E1,6.195116639E-1,1.933180451E0,-2.607066631E-1
1.243411067E1,2.938635647E-1,1.872350812E0,4.348561913E-2
1.253422367E1,-1.872916818E0,-5.237891078E-1,4.760032296E-1
1.263433767E1,6.282269955E-1,-1.141908884E0,-2.291102409E-1
