"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.109097667E0,-7.169490967E0,-8.956025848E0,3.671265564E0
9.209211000E0,-6.299200745E0,2.794688416E0,7.824379120E0
9.309324000E0,-5.867049408E0,-1.231938171E-1,4.420756989E0
9.409437000E0,-9.556876373E0,-9.343719635E0,4.165388031E0
9.509551000E0,-7.177274780E0,-8.174051971E0,2.589764557E0
9.609664000E0,-9.231752472E0,-5.345833282E0,3.766467590E0
9.709777000E0,-9.773775330E0,-4.826114044E0,4.294120331E0
9.809891000E0,-9.922416229E0,-4.763544159E0,3.998934174E0
9.910004000E0,-7.189100189E0,-3.992347870E0,7.580386505E0
1.001011700E1,-3.256478119E0,-2.540966034E0,7.267237701E0
1.011023100E1,-7.060816956E-1,2.650538177E0,6.296206970E0
1.021034425E1,-1.140328674E0,-1.602268066E0,5.385949860E0
1.031045725E1,-8.868607635E0,-9.807455292E0,8.577762451E0
1.041057125E1,-5.790109406E0,-7.818241882E0,8.623267822E0
1.051068425E1,1.576222229E0,1.188678131E0,6.595285034E0
1.061079725E1,-1.444047089E0,1.188827820E0,4.495601349E0
1.071091125E1,-9.160949707E0,-8.521479492E0,7.656578064E0
1.081102425E1,-9.688901825E0,-1.187959625E1,7.574249268E0
1.091113725E1,-2.275567932E0,-2.592608643E0,7.724237366E0
1.101125025E1,-3.682342529E-2,3.250939636E0,4.173022156E0
1.111136425E1,-6.403533783E0,-5.344336395E0,5.890400848E0
1.121147687E1,-1.267773651E1,-1.586715408E1,8.966204681E0
1.131159087E1,-2.172731781E0,-5.050647125E0,7.642507324E0
1.141170387E1,-3.909869385E-1,2.336042175E0,7.279063110E0
1.151181687E1,-2.954256592E0,-1.338366852E0,5.434449005E0
1.161193087E1,-4.385430450E0,-4.743785248E0,5.274132385E0
1.171204387E1,-1.574725342E0,-9.554481354E0,7.612120514E0
1.181215687E1,-5.714516602E0,-5.510341187E0,8.001460876E0
1.191227087E1,-4.038152618E0,-4.530029755E0,5.301675110E0
1.201238387E1,-8.365952911E0,-3.420986023E0,3.163820801E0
1.211249687E1,-1.106499023E1,-1.981130219E0,9.719288635E-1
1.221261067E1,-8.512198792E0,-1.445543976E0,2.543361053E0
1.231272367E1,-8.516090698E0,-1.931283875E0,2.656825104E0
1.241283667E1,-8.994944916E0,-5.431904297E0,-1.756597137E0
1.251295067E1,-1.171014862E1,-5.557193756E0,-6.052513733E0
1.261306367E1,-6.035898285E0,-1.162632294E0,1.214050369E1
1.271317667E1,-1.049482590E1,-2.239792328E0,-3.265309753E0
1.281329067E1,-1.175475586E1,-5.785019989E0,-6.148015137E0
1.291340367E1,-6.125262451E0,-4.014202423E0,8.201445007E0
1.301351667E1,-7.224726105E0,-2.503992920E0,2.466121674E0
1.311363067E1,-9.777816925E0,-8.313861237E0,-7.666158142E0
1.321374412E1,-8.297395477E0,-3.501368866E0,1.072819061E0
1.331385712E1,-9.758956146E0,-2.774031372E0,1.530716858E0
1.341397112E1,-1.004575974E1,-4.623435516E0,1.536255341E0
1.351408412E1,-7.696395264E0,-4.242627411E0,-3.692221985E0
