"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749161449489824E9,"2025-06-06 00:10:49.490 UTC+02:00"
"PAUSE",4.060258137500205E1,1.749161490092165E9,"2025-06-06 00:11:30.092 UTC+02:00"
"START",4.060258137500205E1,1.749161495273915E9,"2025-06-06 00:11:35.274 UTC+02:00"
"PAUSE",8.125077987500117E1,1.749161535921869E9,"2025-06-06 00:12:15.922 UTC+02:00"
"START",8.125077987500117E1,1.749161541592251E9,"2025-06-06 00:12:21.592 UTC+02:00"
"PAUSE",1.218779357500025E2,1.749161582219222E9,"2025-06-06 00:13:02.219 UTC+02:00"
"START",1.218779357500025E2,1.749161586460246E9,"2025-06-06 00:13:06.460 UTC+02:00"
"PAUSE",1.624827547916720E2,1.749161627064832E9,"2025-06-06 00:13:47.065 UTC+02:00"
"START",1.624827547916720E2,1.749161631523612E9,"2025-06-06 00:13:51.524 UTC+02:00"
"PAUSE",2.031180873750054E2,1.749161672158712E9,"2025-06-06 00:14:32.159 UTC+02:00"
"START",2.031180873750054E2,1.749161686782903E9,"2025-06-06 00:14:46.783 UTC+02:00"
"PAUSE",2.437787686666779E2,1.749161727443372E9,"2025-06-06 00:15:27.443 UTC+02:00"
"START",2.437787686666779E2,1.749161732197031E9,"2025-06-06 00:15:32.197 UTC+02:00"
"PAUSE",2.844501758750048E2,1.749161772868207E9,"2025-06-06 00:16:12.868 UTC+02:00"
"START",2.844501758750048E2,1.749161780762534E9,"2025-06-06 00:16:20.763 UTC+02:00"
"PAUSE",3.251095360416730E2,1.749161821421629E9,"2025-06-06 00:17:01.422 UTC+02:00"
"START",3.251095360416730E2,1.749161830731267E9,"2025-06-06 00:17:10.731 UTC+02:00"
"PAUSE",3.657154134583398E2,1.749161871336903E9,"2025-06-06 00:17:51.337 UTC+02:00"
"START",3.657154134583398E2,1.749161883122670E9,"2025-06-06 00:18:03.123 UTC+02:00"
"PAUSE",4.063200991250124E2,1.749161923727104E9,"2025-06-06 00:18:43.727 UTC+02:00"
