"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749158618446396E9,"2025-06-05 23:23:38.446 UTC+02:00"
"PAUSE",4.060478233333561E1,1.749158659051098E9,"2025-06-05 23:24:19.051 UTC+02:00"
"START",4.060478233333561E1,1.749158681514930E9,"2025-06-05 23:24:41.515 UTC+02:00"
"PAUSE",8.123234570833301E1,1.749158722142177E9,"2025-06-05 23:25:22.142 UTC+02:00"
"START",8.123234570833301E1,1.749158735955237E9,"2025-06-05 23:25:35.955 UTC+02:00"
"PAUSE",1.218357938750050E2,1.749158776558320E9,"2025-06-05 23:26:16.558 UTC+02:00"
"START",1.218357938750050E2,1.749159757281800E9,"2025-06-05 23:42:37.282 UTC+02:00"
"PAUSE",1.624427568750107E2,1.749159797888393E9,"2025-06-05 23:43:17.888 UTC+02:00"
"START",1.624427568750107E2,1.749159805521351E9,"2025-06-05 23:43:25.521 UTC+02:00"
"PAUSE",2.030446121250061E2,1.749159846122884E9,"2025-06-05 23:44:06.123 UTC+02:00"
"START",2.030446121250061E2,1.749159869218008E9,"2025-06-05 23:44:29.218 UTC+02:00"
"PAUSE",2.436965263333404E2,1.749159909869561E9,"2025-06-05 23:45:09.870 UTC+02:00"
"START",2.436965263333404E2,1.749159926319666E9,"2025-06-05 23:45:26.320 UTC+02:00"
"PAUSE",2.843046858750094E2,1.749159966927502E9,"2025-06-05 23:46:06.928 UTC+02:00"
"START",2.843046858750094E2,1.749160070777676E9,"2025-06-05 23:47:50.778 UTC+02:00"
"PAUSE",3.108071104583432E2,1.749160097279877E9,"2025-06-05 23:48:17.280 UTC+02:00"
"START",3.108071104583432E2,1.749160127308193E9,"2025-06-05 23:48:47.308 UTC+02:00"
"PAUSE",3.514143643333446E2,1.749160167915066E9,"2025-06-05 23:49:27.915 UTC+02:00"
"START",3.514143643333446E2,1.749160199521471E9,"2025-06-05 23:49:59.521 UTC+02:00"
"PAUSE",3.920398001666763E2,1.749160240146558E9,"2025-06-05 23:50:40.147 UTC+02:00"
