"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.749157251685300E9,"2025-06-05 23:00:51.685 UTC+02:00"
"PAUSE",4.062631845833676E1,1.749157292311298E9,"2025-06-05 23:01:32.311 UTC+02:00"
"START",4.062631845833676E1,1.749157303195328E9,"2025-06-05 23:01:43.195 UTC+02:00"
"PAUSE",8.125232254166622E1,1.749157343821012E9,"2025-06-05 23:02:23.821 UTC+02:00"
"START",8.125232254166622E1,1.749157367978925E9,"2025-06-05 23:02:47.979 UTC+02:00"
"PAUSE",1.218573794999975E2,1.749157408583689E9,"2025-06-05 23:03:28.584 UTC+02:00"
"START",1.218573794999975E2,1.749157414716106E9,"2025-06-05 23:03:34.716 UTC+02:00"
"PAUSE",1.624622194999974E2,1.749157455320630E9,"2025-06-05 23:04:15.321 UTC+02:00"
"START",1.624622194999974E2,1.749157924426229E9,"2025-06-05 23:12:04.426 UTC+02:00"
"PAUSE",2.030600941250013E2,1.749157965023731E9,"2025-06-05 23:12:45.024 UTC+02:00"
"START",2.030600941250013E2,1.749157980796710E9,"2025-06-05 23:13:00.797 UTC+02:00"
"PAUSE",2.436884045416664E2,1.749158021424577E9,"2025-06-05 23:13:41.425 UTC+02:00"
"START",2.436884045416664E2,1.749158064035601E9,"2025-06-05 23:14:24.036 UTC+02:00"
"PAUSE",2.843165676249992E2,1.749158104663380E9,"2025-06-05 23:15:04.663 UTC+02:00"
"START",2.843165676249992E2,1.749158113437044E9,"2025-06-05 23:15:13.437 UTC+02:00"
"PAUSE",3.250199261666639E2,1.749158154139986E9,"2025-06-05 23:15:54.140 UTC+02:00"
"START",3.250199261666639E2,1.749158166861110E9,"2025-06-05 23:16:06.861 UTC+02:00"
"PAUSE",3.656477104166624E2,1.749158207488509E9,"2025-06-05 23:16:47.489 UTC+02:00"
"START",3.656477104166624E2,1.749158218260275E9,"2025-06-05 23:16:58.260 UTC+02:00"
"PAUSE",4.062768125416624E2,1.749158258889113E9,"2025-06-05 23:17:38.889 UTC+02:00"
