datetime,acc_x,acc_y,acc_z,linacc_x,linacc_y,linacc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,labelOne,labelTwo,labelThree,labelFour,labelFive
2025-01-01 00:20:02.700,-0.9265731812,-3.865411835,9.512867889,0.136476206,0.1738494158,0.6364723474,-0.01776820794,0.03342335299,-0.03920578584,27.6557312,20.7611618,-36.58450317,0,0,0,1,0
2025-01-01 00:20:02.800,-0.9894424438,-3.818259888,8.915909271,0.03630046494,0.144934788175,-0.10509200691,0.006821556945,-0.03679770045,-0.010866373545500001,27.637878415,20.72723389,-36.685256955,0,0,0,1,0
2025-01-01 00:20:02.900,-0.9851014709,-3.939956818,8.713081055,0.04041902438,0.04252416819,-0.1318517894,-0.06615961343,-0.04074987024,0.0005874278722,27.49447632,20.6861496,-36.68789673,0,0,0,1,0
2025-01-01 00:20:03.000,-1.039737854,-4.069287872,8.981173553,-0.09045467198,-0.02894693345,0.1269325268,-0.03605523333,-0.04414854944,0.01700332202,27.55592346,20.91655731,-36.72924805,0,0,0,1,0
2025-01-01 00:20:03.100,-0.8337661743,-4.057163086,9.110953674,0.01746665642,0.06208076566,0.1985194033,0.02225191332,-0.01204612572,0.004577381536,27.32373047,20.84668732,-36.61956787,0,0,0,1,0
2025-01-01 00:20:03.200,-0.8716374207,-4.034111023,8.912466431,0.1471019856,0.09981694132,0.03592003047,0.05987488851,0.04053102434,-0.03157428652,27.33665466,20.75162506,-36.65390015,0,0,0,1,0
2025-01-01 00:20:03.300,-0.7623646545,-3.96076355,8.769064636,0.6088848185,0.02571400791,-0.1505751586,0.06967520714,0.6116400957,-0.1559042037,27.74633789,20.68546295,-36.35400391,0,0,0,1,0
2025-01-01 00:20:03.400,-1.529669037,-4.040847015,8.599916382,-0.06064132735,-0.03308530033,-0.2554420477,0.1954952925,1.179153085,-0.3215195239,30.28581238,20.90896606,-34.1690979,0,0,0,1,0
2025-01-01 00:20:03.500,-1.890568542,-3.704346771,8.399333496,0.9245810348,0.1705983639,-0.2488440496,0.202668488,2.139026642,-0.3895023763,33.3401947,21.39118195,-30.9407959,0,0,0,1,0
2025-01-01 00:20:03.600,-3.315305786,-3.416495361,7.43473938,1.181934537,0.4949144724,-0.3570385891,0.143898502,2.547889471,-0.6217323542,37.56599426,22.30877686,-24.71832275,0,0,0,1,0
2025-01-01 00:20:03.700,-6.17810257,-4.374203796,6.196214905,-0.1732570928,-0.031453342435000003,-0.078900573845,-0.065926207235,2.043128073,-0.72295191885,41.286521910000005,25.465301515,-10.86943054,0,0,0,1,0
