Feature,count,% missing,mean,std,min,max
acc_x,8056.0,0.04962779156327543,-4.389797077536396,3.1867324330049915,-25.26446228,6.5158003235
acc_y,8056.0,0.04962779156327543,-4.7357617360337265,2.2405587843650245,-22.1428536961,2.0258123016500003
acc_z,8056.0,0.04962779156327543,4.962855260366251,4.2845834141286225,-8.847501526,13.81843941
linacc_x,8055.0,0.062034739454094295,0.04592855140240903,1.5670273304798867,-16.89648214,14.55798881
linacc_y,8055.0,0.062034739454094295,-0.2187787299023971,1.0283216078551212,-10.018383363335,6.4270587395000005
linacc_z,8055.0,0.062034739454094295,-0.14232297052301804,1.0709579871960095,-9.1689644835,12.47907385
gyr_x,8055.0,0.062034739454094295,-0.0017812820169070972,0.40815514622405924,-2.927525440666667,2.433197816333333
gyr_y,8055.0,0.062034739454094295,0.010268677577062246,0.9562657033920549,-7.6823608865,6.232513189
gyr_z,8055.0,0.062034739454094295,-0.002161129539569504,0.5957180495900032,-4.42609334,3.7536490756666665
mag_x,8055.0,0.062034739454094295,26.21658934378379,9.93819781607904,-17.141113283333336,58.452540080000006
mag_y,8055.0,0.062034739454094295,26.886753940094604,12.142076247526157,-9.201110838333332,71.6525116
mag_z,8055.0,0.062034739454094295,-11.956401833280399,24.690404034225626,-51.518056236666666,47.813217165
