"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.342458334E-3,-9.265731812E-1,-3.865411835E0,9.512867889E0
1.024614583E-1,-9.894424438E-1,-3.818259888E0,8.915909271E0
2.025814583E-1,-9.851014709E-1,-3.939956818E0,8.713081055E0
3.027014583E-1,-1.039737854E0,-4.069287872E0,8.981173553E0
4.028214583E-1,-8.337661743E-1,-4.057163086E0,9.110953674E0
5.029414583E-1,-8.716374207E-1,-4.034111023E0,8.912466431E0
6.030614583E-1,-7.623646545E-1,-3.960763550E0,8.769064636E0
7.031804583E-1,-1.529669037E0,-4.040847015E0,8.599916382E0
8.033004583E-1,-1.890568542E0,-3.704346771E0,8.399333496E0
9.034204583E-1,-3.315305786E0,-3.416495361E0,7.434739380E0
1.003540167E0,-6.178102570E0,-4.374203796E0,6.196214905E0
1.103660167E0,-7.306605835E0,-4.689148865E0,5.109325104E0
1.203780167E0,-7.214397583E0,-4.853507080E0,3.906276855E0
1.303899167E0,-7.780969391E0,-6.051166534E0,2.784958649E0
1.404019167E0,-7.758067017E0,-6.281387787E0,2.273921356E0
1.504139167E0,-7.469916229E0,-6.603368225E0,2.027982788E0
1.604259167E0,-6.900949402E0,-6.379882965E0,1.721420288E0
1.704379167E0,-6.795269165E0,-6.946155396E0,1.103654938E0
1.804499167E0,-6.819818115E0,-7.553592224E0,8.931925964E-1
1.904619167E0,-6.504124603E0,-7.299869843E0,7.943980408E-1
2.004738542E0,-6.353986816E0,-7.384893036E0,6.578819275E-1
2.104858542E0,-6.481970673E0,-7.310946808E0,4.285588074E-1
2.204978542E0,-6.878346405E0,-7.046895905E0,1.519340515E-1
2.305098542E0,-6.183641052E0,-8.161627808E0,4.275109863E-1
2.405218542E0,-4.979694672E0,-9.013805695E0,1.664388885E0
2.505337542E0,-5.972280579E0,-8.436306610E0,1.494192810E0
2.605457542E0,-8.098608856E0,-5.548960876E0,-1.377136230E-2
2.705577542E0,-8.234975281E0,-5.878425751E0,-6.306385803E-1
2.805697542E0,-6.463558960E0,-6.802154846E0,5.177732849E-1
2.905817542E0,-3.522175598E0,-8.650062103E0,1.670077057E0
3.005937458E0,-4.770729218E0,-9.136400757E0,2.136806488E0
3.106056458E0,-6.978039093E0,-6.702911224E0,9.039701843E-1
3.206176458E0,-7.436835022E0,-6.944808197E0,7.777825928E-1
