"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.844225917E0,-6.087874621E-2,-7.230621576E-2,1.241893470E-1
7.934333917E0,5.841878802E-2,5.332057178E-2,5.953003094E-2
8.024440667E0,2.166407183E-2,1.568409614E-2,8.407229185E-2
8.114548667E0,1.188679188E-1,5.319174528E-1,-2.065437287E-1
8.204656667E0,1.677421182E-1,1.129629388E-1,-5.090871453E-1
8.294764667E0,2.237446606E-1,1.215014338E0,-5.930844545E-1
8.384871667E0,8.324706554E-2,-5.453912616E-1,1.248013496E0
8.474979667E0,1.557724029E-1,-2.226764709E-1,-7.253535986E-1
8.565087667E0,-9.044314176E-2,-9.256106615E-1,-1.397357702E0
8.655195667E0,-2.153301239E-1,7.272688150E-1,5.248137116E-1
8.745302667E0,-3.386858106E-1,5.272647142E-1,1.609445810E0
8.835410667E0,1.199770570E-1,1.437656403E0,-3.697252870E-1
8.925518667E0,3.010025322E-1,-1.306643337E-1,-1.037061095E0
9.015626292E0,1.002109125E-1,-1.053779483E0,7.489607930E-1
9.105733292E0,-5.719440803E-2,3.370835260E-2,4.033959210E-1
9.195841292E0,9.202267230E-2,1.313845396E0,-1.389148273E-2
9.285949292E0,1.122511253E-1,-1.247678399E0,-4.332623212E-4
9.376057292E0,-2.998696864E-1,-4.159465134E-1,2.040837854E-1
9.466164292E0,-5.069361329E-1,-1.271844268E0,1.164584756E-1
9.556272292E0,1.645437330E-1,-1.343533397E0,1.433973908E-1
9.646380292E0,4.941179603E-2,7.245159894E-2,1.205701306E-1
9.736488292E0,1.169464812E-1,-2.655389309E-1,1.231730822E-2
9.826595292E0,-1.648008078E-1,1.561272591E-1,-4.563310742E-1
9.916703292E0,4.848590866E-2,2.603006661E-1,1.126299202E-1
1.000681154E1,2.252265960E-1,-1.982317120E-1,6.704925299E-1
1.009691954E1,1.511392444E-1,8.252693415E-1,-4.231576324E-1
1.018702654E1,-5.669210851E-2,1.466019511E0,-3.626275957E-1
1.027713454E1,-1.301868260E-1,-8.953285217E-2,1.159944057E0
1.036724254E1,2.540971935E-1,-9.907362610E-2,-2.144773602E-1
1.045735054E1,-3.744833767E-1,-1.394477785E-1,-1.554070711E0
1.054745754E1,-1.966779530E-1,-7.801281214E-1,2.992621064E-1
1.063756554E1,-1.958534867E-2,-1.260554433E0,5.465806127E-1
1.072767354E1,-2.858967781E-1,1.003211379E0,-1.262902141E0
1.081778154E1,-2.351225466E-1,-2.308139503E-1,3.617807031E-1
1.090788854E1,-7.152725756E-2,-4.586247206E-1,1.391640425E0
1.099799633E1,2.082108408E-1,4.634677768E-1,-5.997929573E-1
1.108810433E1,1.897003353E-1,7.847413421E-1,-1.013885140E0
1.117821233E1,4.138401747E-1,1.028860331E0,-2.438069582E-1
1.126831933E1,4.028776586E-1,1.445277691E0,-2.106920630E-2
1.135842733E1,1.275671870E-1,1.290026546E0,1.754602194E-1
1.144853533E1,3.717468679E-1,1.775707364E0,1.469348967E-1
1.153864233E1,-3.385840356E-1,1.077463150E0,-1.015421301E-1
1.162875033E1,-1.665429622E-1,5.013992786E-1,-6.894112378E-2
1.171885833E1,-5.417431593E-1,-9.141110182E-1,1.597957015E-1
1.180896633E1,7.750373334E-2,5.554054379E-1,-2.171807587E-1
1.189907333E1,6.164137125E-1,5.890169144E-1,-8.837156296E-1
1.198918129E1,-2.937028110E-1,5.145073533E-1,-9.030009061E-2
1.207928929E1,-1.397785783E0,-3.345067203E-1,5.835651159E-1
1.216939729E1,3.261142671E-1,1.094375849E0,-2.816670835E-1
1.225950429E1,1.950991452E-1,-3.523619175E-1,-5.846780166E-2
1.234961229E1,-3.296182305E-2,4.944161177E-1,4.502139091E-1
1.243972029E1,-9.606361985E-1,-2.297903299E0,2.545825839E-1
1.252982829E1,1.194113851E0,6.726082563E-1,-6.614851356E-1
