"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.798045208E0,2.763257734E-2,1.311386943E0,-1.403273940E0
8.898156208E0,1.940918267E-1,-2.184043884E0,5.536669493E-1
8.998268208E0,1.309788525E-1,2.255643606E0,9.035137296E-1
9.098380208E0,-4.912400991E-2,-4.634058177E-1,-2.896303535E-1
9.198491208E0,-5.882959440E-2,8.652304411E-1,-1.150254726E0
9.298603208E0,6.493851542E-2,-2.071460932E-1,-3.535027504E-1
9.398714208E0,5.960242450E-2,-7.189154029E-1,4.944589436E-1
9.498826208E0,6.146023050E-2,-1.246690512E0,6.601848006E-1
9.598938208E0,2.534095049E-1,-9.652066231E-1,9.116387963E-1
9.699049208E0,5.467203259E-1,-1.050030351E0,7.132229805E-1
9.799159458E0,2.109033167E-1,-5.067181215E-2,3.938303888E-1
9.899271458E0,-1.220115572E-1,-1.474016905E-1,-6.286255717E-1
9.999382458E0,-1.007516384E0,-6.805594563E-1,-1.205443144E0
1.009949446E1,-6.821082830E-1,2.335135937E-1,-4.365778267E-1
1.019960546E1,8.557559848E-1,2.440820336E-1,1.349274397E0
1.029971746E1,6.400792599E-1,-5.079657435E-1,2.016149759E-1
1.039982946E1,-1.970816255E-1,3.090548217E-1,-6.232506633E-1
1.049994046E1,-1.100460291E0,2.581378520E-1,-6.911157966E-1
1.060005246E1,4.845518172E-1,-3.979788125E-1,1.308988452E0
1.070016346E1,5.661042333E-1,-6.270459294E-2,2.529687881E-1
1.080027637E1,-4.343030751E-1,3.895264864E-1,-4.557879269E-1
1.090038837E1,-5.871536136E-1,1.233670831E0,-3.365401030E-1
1.100049937E1,6.193997860E-1,-6.575658917E-1,1.612658262E0
1.110061137E1,4.628346562E-1,3.997138143E-1,-4.948424399E-1
1.120072237E1,-5.684292912E-1,-3.078036010E-1,-1.604753852E0
1.130083437E1,-1.142133400E-2,2.499691248E0,-4.980713725E-1
1.140094537E1,7.852449417E-1,1.838684082E0,1.657758802E-1
1.150105737E1,1.639194489E-1,9.033709168E-1,6.399552226E-1
1.160116937E1,3.195856698E-4,3.598747492E0,3.428242505E-1
1.170128037E1,-4.529411495E-1,1.520115256E0,1.555770338E-1
1.180139208E1,3.070456982E-1,-3.169085979E-1,6.589130312E-2
1.190150308E1,7.036025524E-1,-1.320986152E-1,-2.496370375E-1
1.200161508E1,-7.787392139E-1,-9.511374235E-1,2.661812901E-1
1.210172708E1,-1.824121773E-1,-4.188526630E0,1.462915391E-1
1.220183808E1,9.003393650E-1,1.542088389E-1,1.165046841E-1
1.230195008E1,-7.856567502E-1,2.499766350E-1,1.453773379E-1
1.240206108E1,1.693703830E-1,-9.833320975E-1,-3.442529589E-2
1.250217308E1,1.054220319E0,-3.623621464E-1,-2.925080061E-1
1.260228508E1,-5.246638060E-1,7.748970985E-1,5.154827237E-2
1.270239608E1,-9.198405743E-1,-4.986599088E-1,2.515715361E-1
1.280250821E1,1.238191128E-1,1.105621457E0,-7.234866917E-2
1.290261921E1,1.030510306E0,8.843485713E-1,-3.737262487E-1
1.300273121E1,-6.731399894E-1,4.998691678E-1,2.434196025E-1
1.310284321E1,-1.169143617E-1,5.850923657E-1,-3.380398080E-2
1.320295421E1,7.645177841E-1,4.124458134E-1,-1.630897224E-1
1.330306621E1,-4.803954065E-1,-2.381419539E-1,-1.233088970E-1
1.340317821E1,-8.311170340E-1,-1.012612209E-1,1.786174178E-1
1.350328921E1,1.036700726E0,5.127730370E-1,-5.506925583E-1
1.360340121E1,-8.370637894E-1,-8.015599102E-2,1.346216351E-1
1.370351221E1,-1.382056713E0,8.078318834E-1,1.732251048E-1
1.380362396E1,1.002614141E0,4.228383005E-1,-3.196264505E-1
1.390373596E1,-6.593134403E-1,-1.120806098E0,2.894989550E-1
1.400384696E1,-3.834492564E-1,-3.731563389E-1,-7.827975601E-2
1.410395896E1,4.486714303E-1,-6.848990321E-1,-4.470011592E-1
1.420406996E1,-5.970782787E-2,8.641726375E-1,-1.437402964E-1
1.430418196E1,-9.485248923E-1,1.833837926E-1,2.175705284E-1
1.440429396E1,9.673955292E-2,-1.112639546E0,-3.247422874E-1
1.450440496E1,1.614694148E-1,-2.317712069E0,-1.844716519E-1
1.460451696E1,3.600420058E-2,-2.373373985E0,2.555530146E-2
1.470462896E1,-2.543099821E-1,-1.232315540E0,3.279307112E-2
1.480473971E1,-7.881047726E-1,-5.022793770E0,3.731634617E-1
1.490485171E1,-3.152746558E-1,-3.036282063E0,5.086929798E-1
