"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.013104333E0,-4.228706360E0,-6.828649750E0,4.118236084E0
9.113220333E0,-1.031370255E1,-6.273603973E0,3.178490295E0
9.213337333E0,-7.106921082E0,6.137237549E-3,1.260259277E1
9.313454333E0,1.423988800E0,-2.564018097E0,8.645571442E0
9.413570333E0,-4.293222198E0,-7.549550629E0,1.918260956E0
9.513687333E0,-1.820454346E1,-3.927682343E0,4.938979340E0
9.613804333E0,-7.798932037E0,-2.138003998E0,7.437433777E0
9.713920333E0,-1.846110992E0,-1.120869141E0,8.528664551E0
9.814037333E0,-6.710844727E0,-4.320764923E0,5.611081696E0
9.914153333E0,-3.119962006E0,-4.201762390E0,8.567433929E0
1.001427013E1,-7.361242218E0,-6.242019653E-2,4.954397278E0
1.011438712E1,-6.437662811E0,-1.538201294E0,4.469854889E0
1.021450312E1,-6.071823578E0,-3.614084473E0,5.454806671E0
1.031462013E1,-4.312382355E0,-4.245321808E0,7.923023987E0
1.041473713E1,-8.431815948E0,-1.020158569E1,3.645369415E0
1.051485313E1,-6.150260468E0,-6.999294891E0,6.909930725E0
1.061497012E1,-2.821033630E0,-1.402433624E0,7.124135284E0
1.071508713E1,-6.898853760E0,-1.638343048E0,5.727539520E0
1.081520313E1,-2.566862183E0,-3.979175262E0,5.537734222E0
1.091532013E1,-7.639962616E0,-9.729168091E0,3.955524445E0
1.101543675E1,-5.392386475E0,-6.281537476E0,6.429130554E0
1.111555375E1,-5.443130951E0,-3.382815399E0,5.394482117E0
1.121567075E1,-6.096821594E0,-1.330133972E0,4.729864197E0
1.131578675E1,-7.821235657E-1,-3.356769562E0,6.799759827E0
1.141590375E1,-6.087091827E0,-7.860005035E0,5.727838898E0
1.151602075E1,-8.374485168E0,-7.018604736E0,4.881648560E0
1.161613675E1,-7.753875732E0,-3.140469360E0,5.472020874E0
1.171625375E1,-2.484683075E0,-6.737489319E-1,6.388265533E0
1.181636975E1,-7.595205688E-1,-3.428919525E0,7.221133575E0
1.191648675E1,-7.243586884E0,-7.885901184E0,4.430486755E0
1.201660358E1,-5.725294189E0,-6.255791016E0,4.444557495E0
1.211671958E1,-6.062842255E0,-5.995781708E0,6.639592896E0
1.221683658E1,-4.267475739E0,-3.630250854E0,8.513096924E0
1.231695358E1,-3.753444672E0,-3.704346771E0,1.052102142E1
1.241706958E1,-4.426445160E0,-2.655178528E0,8.374934235E0
1.251718658E1,-2.348316650E0,-5.375321960E-1,6.626420288E0
1.261730258E1,-1.092428284E0,-9.045689392E-1,7.398514709E0
1.271741958E1,-7.232509918E0,-4.598587189E0,6.426286469E0
1.281753658E1,-5.245990906E0,-5.650150452E0,8.684939575E0
1.291765258E1,-6.171665955E0,-9.331744537E0,8.586743774E0
1.301776946E1,-9.336085510E-1,-2.158661041E0,6.805447998E0
1.311788646E1,-3.682941284E0,-6.352789307E-1,7.067103882E0
1.321800246E1,-3.594774628E0,-4.005670166E0,7.951315155E0
1.331811946E1,-6.864724731E0,-6.277346191E0,8.095914459E0
1.341823546E1,-8.524622955E0,-9.021140442E0,8.072413330E0
1.351835246E1,6.053411865E-1,-9.886940002E-1,7.435936890E0
1.361846946E1,-2.501597900E0,-5.460644531E-1,6.996001740E0
1.371858546E1,-3.088826752E0,-4.589156799E0,7.286397858E0
1.381870246E1,-8.876391449E0,-7.130122833E0,7.981402588E0
1.391881946E1,-9.987381134E0,-8.762927399E0,8.666677551E0
1.401893596E1,9.716294861E-1,4.656816101E-1,6.998995514E0
1.411905296E1,-2.428998871E0,-4.287084961E-1,7.990533600E0
1.421916896E1,7.364685059E-1,-2.913241882E0,7.538922729E0
1.431928596E1,-8.418194275E0,-9.269024963E0,8.174501038E0
1.441940296E1,1.546284485E-1,-7.721243591E0,7.525450745E0
1.451951896E1,-7.079078979E0,-5.604345703E0,7.680378571E0
1.461963596E1,-3.968697052E0,-4.712949371E0,6.069727936E0
1.471975296E1,-3.405867462E0,-5.150190125E0,5.666316833E0
1.481986896E1,-6.430627441E0,-5.087470551E0,6.527925110E0
1.491998596E1,-6.902595978E0,-4.158202972E0,5.437143402E0
1.502010233E1,-9.825717316E0,-2.407443695E0,3.770658875E-1
1.512021833E1,-9.009464722E0,-2.627635803E0,2.556533661E0
1.522033533E1,-8.775650940E0,-1.472937012E0,2.883453827E0
1.532045133E1,-9.600286102E0,-4.025129700E-1,5.883215790E0
1.542056833E1,-1.107202560E1,-3.444038086E0,-2.647993469E0
1.552068533E1,-9.911938019E0,-3.342249756E0,-2.992726593E0
1.562080133E1,-7.414082336E0,-2.624492340E0,3.820056152E0
1.572091833E1,-1.121303238E1,-4.860692139E0,-3.418291626E0
1.582103533E1,-7.749235382E0,-3.789070587E0,8.942404175E-1
1.592115133E1,-6.327641602E0,-3.260220337E0,4.047732697E0
1.602126958E1,-8.924740906E0,-5.203179932E-1,5.847889252E0
1.612138558E1,-7.704179077E0,-2.481539612E0,-1.480421448E0
1.622150258E1,-9.597442017E0,-3.773502960E0,1.714833984E0
1.632161958E1,-1.028675858E1,-3.097209320E0,2.288141785E0
1.642173558E1,-1.151240982E1,-3.316503296E0,3.131937103E0
1.652185258E1,-8.694070587E0,-3.700604553E0,-2.162103882E0
1.662196958E1,-9.043593750E0,-4.553530884E-1,1.950593719E0
1.672208558E1,-6.885232086E0,-1.448986816E0,5.766458588E0
1.682220258E1,-7.320077820E0,-1.987417145E0,4.637057190E0
1.692231858E1,-1.171703430E1,-6.327192535E0,7.866142273E-1
1.702243471E1,-8.240663452E0,-2.962788849E0,-8.434959412E-1
1.712255171E1,-9.430838470E0,-2.717748413E0,-2.520907745E0
1.722266771E1,-5.412594452E0,-2.535128174E0,1.494267654E1
1.732278471E1,-9.609267426E0,-4.211791534E0,1.914818115E0
1.742290071E1,-8.143964539E0,-2.015259247E0,2.137255554E0
1.752301771E1,-8.791368256E0,-4.918022919E0,-4.310885468E0
1.762313471E1,-9.016200714E0,-2.996468811E0,1.247850082E1
1.772325071E1,-9.189839630E0,-3.530558167E0,1.840422821E0
1.782336771E1,-7.361990662E0,-1.962419128E0,4.561015320E-1
1.792348471E1,-8.729397125E0,-2.051184540E0,9.756710815E-1
1.802360050E1,-1.072250244E1,-1.695524139E0,1.259810211E1
1.812371750E1,-8.791068878E0,-2.910547485E0,3.006348267E0
1.822383350E1,-8.820108490E0,-3.666625214E0,6.523434448E-1
1.832395050E1,-1.020667511E1,-3.367696838E0,-2.285746765E-1
1.842406750E1,-7.689659271E0,-3.069217529E0,2.652035065E0
1.852418350E1,-8.000562744E0,-3.973636780E0,4.190086670E0
1.862430050E1,-6.120771790E0,-4.206702118E0,7.168293457E0
1.872441750E1,-7.490722961E0,-4.407883759E0,6.165977783E0
1.882453350E1,-5.076243896E0,-4.978646851E0,7.241790619E0
1.892465050E1,-2.463576965E0,-5.373675385E0,9.621541901E0
1.902476708E1,-9.996212769E-1,-4.745581512E0,8.445587311E0
1.912488408E1,8.437953186E-1,-4.459376678E0,8.253237305E0
1.922500108E1,-2.641107788E0,-2.461631012E0,7.838150482E0
1.932511708E1,1.609153748E-1,-6.081104279E0,7.677235107E0
1.942523408E1,-3.216511230E0,-5.147495728E0,8.699609070E0
1.952535008E1,6.243516541E-1,-4.853507080E0,8.533604279E0
1.962546708E1,-9.527088318E0,-2.527943115E0,6.432423706E0
1.972558408E1,4.430636444E0,-5.319338379E0,1.309506866E1
1.982570008E1,-4.965174866E-1,-5.140759735E0,1.092577972E1
1.992581708E1,-4.453389130E0,-1.550775146E0,7.440427551E0
