"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.821629958E0,-9.248770773E-2,-1.492129922E0,1.233301640E0
8.921746958E0,7.846300006E-1,5.496320128E-1,1.299373209E-1
9.021863333E0,3.520126641E-1,-4.322052598E-1,-1.231058836E0
9.121980333E0,-1.135205269E0,1.285418749E0,-3.115887940E-1
9.222097333E0,1.109726802E-1,-1.562992811E0,8.962478042E-1
9.322213333E0,1.048753262E0,1.587617844E-1,-4.791119695E-1
9.422330333E0,3.698425293E-1,-1.038654804E0,-1.810231328E0
9.522447333E0,-5.710177422E-1,-2.864692509E-1,3.557451367E-1
9.622563333E0,-4.315025508E-1,-1.328106523E-1,1.341153026E0
9.722680333E0,7.254848480E-1,-2.558404505E-1,-3.258243203E-1
9.822797333E0,1.122841835E-1,3.076415360E-1,-2.820160389E-1
9.922913333E0,2.965453267E-1,7.879932523E-1,-1.601452678E-1
1.002303012E1,-1.187368929E-1,4.022628665E-1,-2.109697908E-1
1.012314713E1,-1.230932623E-1,3.788889050E-1,-8.107936978E-1
1.022326313E1,-2.701823413E-1,-1.307459354E0,-8.317087293E-1
1.032338013E1,-5.040469766E-1,-2.206656218E0,-1.055786371E0
1.042349712E1,4.194731265E-2,1.520466328E0,-5.614984408E-2
1.052361312E1,4.272494614E-1,1.035770297E0,1.147733927E0
1.062373013E1,4.428575933E-1,-4.671774805E-1,2.373293228E-2
1.072384613E1,-7.023161650E-2,4.243297875E-2,-2.142272592E-1
1.082396313E1,-1.997031569E-1,-1.524437547E0,-1.291296959E0
1.092408012E1,-3.110568225E-1,5.667260885E-1,-2.319039702E-1
1.102419675E1,3.182833493E-1,2.193007320E-1,5.877948999E-1
1.112431375E1,2.215331942E-1,-2.153945684E0,1.331984159E-2
1.122443075E1,-2.680185139E-1,4.965315759E-1,-2.661262453E-1
1.132454675E1,-8.504221588E-2,-7.654413581E-1,-1.156262755E0
1.142466375E1,-1.611792594E-1,-2.783611417E-1,-4.163697660E-1
1.152477975E1,3.448845148E-1,-4.863347411E-1,8.479262590E-1
1.162489675E1,-4.812261835E-2,-1.292052507E0,9.440873861E-1
1.172501375E1,6.560858339E-2,1.624721169E0,-3.803266883E-1
1.182512975E1,1.054693833E-1,-7.389395833E-1,-1.552740335E0
1.192524675E1,-2.812744975E-1,-1.691831589E0,-5.869569778E-1
1.202536258E1,2.409252524E-1,-1.118759751E0,1.988624036E-1
1.212547958E1,7.033828646E-2,-8.639463186E-1,7.870743871E-1
1.222559658E1,-4.638784379E-2,-1.082755685E0,1.022811413E0
1.232571258E1,3.280939758E-1,-1.127038836E0,6.568674445E-1
1.242582958E1,3.255843222E-1,-2.251280546E-1,2.575823665E-1
1.252594658E1,4.663477093E-2,2.534033060E-1,-3.570866585E-1
1.262606258E1,-6.280509830E-1,7.993352413E-2,-8.368992805E-1
1.272617958E1,-9.613581300E-1,-9.724186063E-1,-5.878891349E-1
1.282629558E1,-1.891128719E-1,-3.608320653E-1,-2.940798402E-1
1.292641258E1,6.994171143E-1,-2.124493271E-1,8.882259727E-1
1.302652946E1,4.031296670E-1,1.068318263E-2,3.412722647E-1
1.312664546E1,-9.010420740E-2,2.023039460E-1,-5.551067591E-1
1.322676246E1,-7.536618710E-1,4.286719263E-1,-9.022777081E-1
1.332687946E1,-2.401141524E-1,-1.801282912E-1,4.984233528E-2
1.342699546E1,5.718355179E-1,5.062457323E-1,1.313810349E0
1.352711246E1,2.957955599E-1,9.578495473E-2,4.913638532E-1
1.362722946E1,-1.945853978E-1,1.868242621E-1,-5.770772696E-1
1.372734546E1,-8.313021660E-1,5.270363092E-1,-1.207135797E0
1.382746246E1,1.176079512E-1,-1.010990620E0,3.797575533E-1
1.392757846E1,5.597065091E-1,-3.254831135E-1,1.517402291E0
1.402769596E1,3.379606009E-1,-3.093091398E-2,3.207202256E-1
1.412781296E1,-6.073934212E-2,7.382285595E-1,-3.316487968E-1
1.422792896E1,-1.067040324E0,3.544884026E-1,-1.341885328E0
1.432804596E1,-5.457682014E-1,3.965823054E-1,-2.150847167E-1
1.442816296E1,1.360111535E-1,1.026055336E0,-1.546184421E-1
1.452827896E1,3.579044640E-1,2.759416820E-3,4.550924059E-3
1.462839596E1,4.135023057E-1,1.876804590E0,1.726685017E-1
1.472851196E1,2.458606958E-1,1.245191455E0,4.330845773E-1
1.482862896E1,2.944363356E-1,1.457240224E0,4.165419340E-1
1.492874596E1,3.662567139E-1,1.155673742E0,-9.747692943E-2
1.502886133E1,-5.990551114E-1,4.799712598E-1,7.156682014E-1
1.512897833E1,-1.295296103E-1,4.554019570E-1,3.211638927E-1
1.522909533E1,-4.228390753E-1,3.684556782E-1,3.471976519E-1
1.532921133E1,8.277882338E-1,-1.007179990E-1,-3.718641996E-1
1.542932833E1,-6.009813026E-2,1.071590781E-1,-1.010671034E-1
1.552944533E1,-1.021590114E0,-4.664957821E-1,3.668579161E-1
1.562956133E1,1.247297600E-1,-9.290943854E-3,-4.775182307E-1
1.572967833E1,2.529816926E-1,-3.519417346E-1,-7.615678012E-2
1.582979433E1,-4.029995501E-1,8.441492319E-1,2.886501551E-1
1.592991133E1,-9.552412033E-1,8.413980156E-2,-1.665291935E-1
1.603002958E1,1.261124849E0,-6.612386107E-1,-2.144453526E-1
1.613014558E1,6.007754803E-1,-9.409413338E-1,-2.520499825E-1
1.623026258E1,-2.554809451E-1,3.169828653E-1,2.248052694E-2
1.633037958E1,-1.381751299E0,-2.302325517E-1,4.409777224E-1
1.643049558E1,5.827398896E-1,-4.226899445E-1,-9.079059213E-2
1.653061258E1,8.858935237E-1,-4.905565977E-1,-1.819988787E-1
1.663072858E1,-1.890718043E-1,-6.115298718E-2,3.071706891E-1
1.673084558E1,-5.616713762E-1,-2.943543494E-1,-1.938852370E-1
1.683096258E1,7.795186639E-1,-5.863518715E-1,-2.524272203E-1
1.693107858E1,3.680013716E-1,1.003363654E-1,1.456583105E-2
1.703119471E1,5.570437387E-2,3.306567669E-1,-8.923546225E-2
1.713131071E1,-7.348566055E-1,-1.305925995E-1,6.391109526E-2
1.723142771E1,1.098029971E0,5.919575095E-1,1.734668612E-1
1.733154471E1,4.284178019E-1,-6.967544556E-1,-1.011444163E-2
1.743166071E1,1.038671851E0,1.012630939E0,-1.026742067E-2
1.753177771E1,-1.113734365E0,4.721668065E-1,-3.890122473E-2
1.763189471E1,-8.700513095E-2,1.771590471E0,8.691427112E-2
1.773201071E1,1.985733360E-1,-4.639404714E-1,1.038099155E-1
1.783212771E1,5.113366246E-1,3.222997487E-1,1.297156662E-1
1.793224371E1,-5.428266525E-1,3.183881938E-1,-1.130727902E-1
1.803236050E1,2.551951408E-1,-4.417962134E-1,8.294359595E-2
1.813247750E1,4.892756343E-1,-1.214492083E0,-1.257010251E-1
1.823259350E1,6.344465613E-1,-1.545860767E0,-3.161172271E-1
1.833271050E1,-5.543172732E-2,-9.005664587E-1,-9.877026826E-2
1.843282650E1,-4.237259030E-1,-1.490787983E0,5.711936951E-2
1.853294350E1,-1.081128240E0,-1.527762175E0,3.420781493E-1
1.863306050E1,-5.841996074E-1,-1.239060402E0,-2.772665210E-2
1.873317650E1,-9.150678515E-1,-2.673393965E0,3.880608827E-2
1.883329350E1,-8.347893357E-1,-3.487687111E0,1.373139024E-1
1.893341050E1,-4.379356205E-1,-3.126767874E0,3.852710724E-1
1.903352708E1,-2.072724402E-1,-1.492709398E0,6.954503059E-1
1.913364408E1,3.481012285E-1,-9.580237269E-1,7.719177008E-1
1.923376008E1,5.744072795E-1,-7.700545788E-1,1.280110717E0
1.933387708E1,5.716235638E-1,-3.374556899E-1,6.108101606E-1
1.943399408E1,-1.328352392E-1,-4.554721117E-1,3.179218173E-1
1.953411008E1,1.988250948E-2,8.211980462E-1,-4.192313850E-1
1.963422708E1,1.407010406E-1,1.042595625E0,3.363726735E-1
1.973434308E1,1.960084736E-1,1.137703061E0,8.259449154E-2
1.983446008E1,-1.573984697E-2,-1.210105538E0,2.109278738E-1
1.993457708E1,3.506463766E-1,-2.032738775E-1,-8.774896711E-2
2.003469196E1,5.406102911E-2,9.035561681E-1,7.881563306E-1
2.013480896E1,2.761859000E-1,-1.652442694E0,-5.187865496E-1
2.023492596E1,-2.972511649E-1,-1.054828882E0,-2.069227457E0
2.033504196E1,-1.106767682E-3,1.825251281E-1,9.731987119E-1
2.043515896E1,1.860044152E-2,-3.793823719E-1,1.501091838E0
2.053527496E1,-1.954159513E-2,4.343877733E-1,-1.236609340E0
2.063539196E1,1.033318136E-2,2.580401897E-1,2.019636035E-1
2.073550896E1,6.643533707E-2,4.230909348E-1,1.456484199E0
2.083562496E1,-1.455684900E-1,-1.012711450E-1,-9.111875892E-1
2.093574196E1,-4.495729133E-2,8.778500557E-1,-4.518736899E-1
2.103585808E1,-2.596646547E-1,4.962761104E-1,1.591319919E0
2.113597508E1,-2.252421379E-1,3.255243301E0,-1.332918763E0
2.123609208E1,2.168456316E-1,4.214786291E-1,6.023714542E-1
2.133620808E1,5.710462853E-2,-1.081851363E0,9.722157121E-1
2.143632508E1,-1.198375821E-1,1.326257885E-1,-1.506984115E0
2.153644108E1,3.868369013E-2,1.794003248E0,-6.303879023E-1
2.163655808E1,2.668420374E-1,-1.837110966E-1,-7.461926341E-1
2.173667508E1,-1.788952947E-1,3.412897885E-1,-2.536959350E-1
2.183679108E1,-2.091287822E-2,9.417412877E-1,-3.936008513E-1
2.193690808E1,3.437640071E-1,6.196571589E-1,-6.963532567E-1
2.203702421E1,4.452853799E-1,5.382742882E-1,-7.733618617E-1
2.213714121E1,1.119211078E0,2.548166275E0,-6.289846301E-1
2.223725821E1,1.199955344E0,8.563920259E-1,-4.453438818E-1
2.233737421E1,7.482628822E-1,1.632394195E0,-2.302230597E-1
2.243749121E1,2.712215483E-1,2.751045227E0,-3.867972791E-1
2.253760821E1,2.183451504E-1,2.311548471E0,-4.689660072E-1
2.263772421E1,1.433579475E-1,1.638116986E-1,-1.988970786E-1
2.273784121E1,-3.674624860E-1,-1.365768909E0,-1.922639310E-1
2.283795721E1,-3.781223595E-1,-8.104552627E-1,-3.185464069E-2
2.293807421E1,-5.494120717E-1,-2.264129162E0,-1.157198623E-1
2.303819175E1,-3.419282734E-1,-1.487864137E0,-3.127323091E-1
2.313830775E1,-1.771923155E-1,-2.274652958E0,1.256081611E-1
2.323842475E1,-1.354481578E-1,-1.548011303E0,9.855461866E-2
2.333854075E1,-8.787085414E-1,-5.841930389E0,-9.425626136E-3
