"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.755598625E0,-4.902922809E-1,4.482013583E-1,4.880885780E-1
8.855712625E0,-7.856969237E-1,-9.971528053E-1,1.856821656E0
8.955827625E0,6.793996096E-1,4.169584215E-1,-3.682750463E-1
9.055942625E0,5.116353631E-1,-1.779591292E-1,-1.438834071E0
9.156057625E0,-7.299035192E-1,2.626913190E-1,2.657509446E-1
9.256171625E0,-7.670923471E-1,-5.985864401E-1,1.501280069E0
9.356286750E0,8.753411770E-1,1.117135763E0,-6.702761650E-1
9.456401750E0,8.180822730E-1,9.858250022E-1,-1.478124499E0
9.556516750E0,-5.750969052E-1,7.437244058E-2,5.930700302E-1
9.656631750E0,-8.976060152E-1,-3.157942593E-1,8.659548163E-1
9.756745750E0,2.736468017E-1,-1.127357259E-1,1.277484894E-1
9.856860750E0,5.872116089E-1,-1.924041212E-1,-4.109524190E-1
9.956975750E0,-3.899777830E-1,4.656317830E-1,5.199258924E-1
1.005709075E1,-6.986437440E-1,-2.281381041E-1,6.748138666E-1
1.015720475E1,-3.338009417E-1,-7.970599532E-1,1.661516130E-1
1.025731975E1,4.609446228E-2,-1.027751565E0,-9.320537448E-1
1.035743458E1,-7.973749936E-2,5.271607041E-1,-8.495860100E-1
1.045754958E1,-2.322211713E-1,-3.984062374E-1,6.135284305E-1
1.055766358E1,-1.229632795E-1,-7.001616359E-1,1.183721542E0
1.065777858E1,3.592711389E-1,6.550228000E-1,-5.805166364E-1
1.075789358E1,1.053885520E-1,-5.402591825E-1,-5.659064054E-1
1.085800858E1,-3.363743722E-1,7.127273828E-2,-1.450916231E-1
1.095812258E1,-3.451597393E-1,-1.107801676E0,2.003972232E-1
1.105823758E1,-1.462062746E-1,-2.364013433E0,9.389986396E-1
1.115835258E1,1.105268523E-1,-2.443313122E0,1.783833146E0
1.125846758E1,3.112502098E-1,-1.512523651E0,1.535669446E0
1.135858233E1,5.226448178E-2,-1.386644363E0,1.310619712E0
1.145869633E1,4.735473990E-1,-7.836433649E-1,-6.500187516E-2
1.155881133E1,2.162122577E-1,1.293762624E-1,-4.243899584E-1
1.165892633E1,7.338187844E-2,1.043660641E0,4.494829476E-1
1.175904133E1,-2.180559635E-1,3.852010667E-1,2.322225086E-2
1.185915533E1,-7.323237062E-1,-1.960869431E-1,3.038519025E-1
1.195927033E1,3.057910204E-1,9.140486121E-1,-5.291040540E-1
1.205938533E1,5.299530029E-1,4.159519076E-1,-5.951591134E-1
1.215950033E1,-7.146625221E-2,-3.357853591E-1,4.209233820E-1
1.225961533E1,6.254427880E-2,-1.123310328E0,-6.856923103E-1
1.235972962E1,-2.999646664E-1,8.005147427E-2,-1.302107215E0
1.245984463E1,-2.700569928E-1,-5.930876732E-1,1.308878183E0
1.255995962E1,5.157243013E-1,-1.601897240E0,-7.123745680E-1
1.266007463E1,-2.666589320E-1,3.000490963E-1,-1.634122729E0
1.276018962E1,-1.118917018E-1,-1.934421062E0,1.286775947E0
1.286030362E1,-1.363817304E-1,-9.662466645E-1,-9.246715307E-1
1.296041863E1,3.027013540E-1,1.316366076E0,-7.832492590E-1
1.306053363E1,2.029908448E-2,-2.474026009E-2,6.829006672E-1
1.316064862E1,-1.155261174E-1,-2.533022463E-1,-1.873428464E0
1.326076363E1,3.723226190E-1,3.992111087E-1,-1.827480197E-1
