"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.845764208E0,-1.623736769E-1,9.346786737E-1,-1.247461200E0
7.935875208E0,-6.493307948E-1,1.630134135E-1,6.613474488E-1
8.025987208E0,1.366766989E-1,-1.852437973E0,1.193797588E0
8.116099208E0,5.199945569E-1,1.135367513E0,-2.775863409E-1
8.206209833E0,2.170716077E-1,4.572679400E-1,-1.502484202E0
8.296321833E0,-3.645024598E-1,1.837142259E-1,-1.355275661E-1
8.386433833E0,-7.008563280E-1,3.443159163E-1,1.351164818E0
8.476544833E0,4.434129894E-1,-6.066033244E-1,2.794850469E-1
8.566656833E0,9.201377630E-1,-1.315127872E-2,-2.106700838E-1
8.656768833E0,6.258511543E-1,-3.911310136E-1,7.370807528E-1
8.746879833E0,-5.305891633E-1,1.646079868E-1,5.111638308E-1
8.836991833E0,-2.513888180E-1,-3.568993211E-1,-8.643582463E-1
8.927102833E0,-1.475102901E0,-2.911055386E-1,-1.640989423E0
9.017214833E0,-7.473191023E-1,3.362108707E0,-5.767486691E-1
9.107326833E0,1.038110495E0,-2.340984792E-1,1.536674976E0
9.197437833E0,6.347849965E-2,-1.474653125E0,-7.605001330E-1
9.287549833E0,-4.774688780E-1,5.562847257E-1,-1.321600080E0
9.377661833E0,-2.483998239E-1,1.204036474E0,-4.822371602E-1
9.467772833E0,3.877538741E-1,1.896118373E-1,9.259042740E-1
9.557884833E0,-2.782455087E-1,2.893664241E-1,9.153375030E-1
9.647995833E0,-2.655721009E-1,4.135302007E-1,-7.312247753E-1
9.738107833E0,-5.645242929E-1,3.254355192E-1,-9.588645697E-1
9.828219833E0,3.473359048E-1,-4.511546791E-1,9.046127200E-1
9.918330833E0,1.811513156E-1,2.437326312E-1,1.088322997E0
1.000844283E1,1.049635559E-1,4.923068583E-1,-6.014619470E-1
1.009855483E1,-2.712916732E-1,-6.648250222E-1,-1.070415378E0
1.018866621E1,4.842718840E-1,-5.258893371E-1,3.913693130E-1
1.027877821E1,1.940089762E-1,-1.069993377E0,2.418745011E-1
1.036888921E1,8.303900063E-2,-9.236869216E-1,6.029905677E-1
1.045900121E1,3.354624808E-1,-7.729492188E-1,6.468634605E-1
1.054911321E1,4.734867215E-1,-3.109229505E-1,4.166706204E-1
1.063922421E1,1.270938516E-1,-9.242395312E-2,2.930927575E-1
1.072933621E1,4.404191300E-2,7.187069207E-2,2.084888890E-2
1.081944721E1,-1.872761548E-2,1.250238866E-1,-1.340717822E-1
1.090955921E1,-1.235402822E-1,2.925605774E-1,-2.198685557E-1
1.099967121E1,-7.317987680E-1,3.966000378E-1,-6.461203694E-1
