"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.053333338E-3,2.343107605E1,1.362443542E1,-4.031661987E1
9.616533334E-2,2.341905212E1,1.398574829E1,-4.013171387E1
1.862758750E-1,2.341680908E1,1.419754028E1,-3.998364258E1
2.763878750E-1,2.348873901E1,1.397026062E1,-3.991006470E1
3.664988750E-1,2.353524780E1,1.389234161E1,-3.966516113E1
4.566108750E-1,2.377149963E1,1.398577118E1,-3.967538452E1
5.467218750E-1,2.395895386E1,1.392783356E1,-3.969271851E1
6.368338750E-1,2.477438354E1,1.394074249E1,-3.893991089E1
7.269458750E-1,2.799070740E1,1.437170410E1,-3.665048218E1
8.170568750E-1,3.435070801E1,1.726403809E1,-2.932412720E1
9.071688750E-1,3.924864197E1,2.106738281E1,-1.902453613E1
9.972798750E-1,4.040119934E1,2.549015045E1,-7.945678711E0
1.087391875E0,3.785754395E1,2.988925171E1,1.306182861E0
1.177502583E0,3.413436890E1,3.299387360E1,6.657867432E0
1.267614583E0,3.098947144E1,3.474317169E1,1.027005005E1
1.357726583E0,2.931042480E1,3.584835052E1,1.181890869E1
1.447837583E0,2.782041931E1,3.672469330E1,1.318060303E1
1.537949583E0,2.669789124E1,3.758710480E1,1.443930054E1
1.628060583E0,2.591436768E1,3.871308136E1,1.546234131E1
1.718172583E0,2.521774292E1,3.992824554E1,1.720654297E1
1.808284583E0,2.529995728E1,4.046139526E1,1.825442505E1
1.898395583E0,2.518475342E1,4.055206299E1,1.829638672E1
1.988507583E0,2.487145996E1,4.030508423E1,1.692550659E1
2.078619583E0,2.497123718E1,3.988241577E1,1.491735840E1
2.168730583E0,2.557475281E1,3.992484283E1,1.308749390E1
2.258842708E0,2.630029297E1,3.991104126E1,1.187307739E1
2.348953708E0,2.708334351E1,4.025862122E1,1.184100342E1
2.439065708E0,2.754733276E1,4.129978180E1,1.358139038E1
2.529177708E0,2.787049866E1,4.179806519E1,1.694604492E1
2.619288708E0,2.746775818E1,4.085742188E1,1.818173218E1
2.709400708E0,2.597991943E1,4.142077637E1,1.609057617E1
2.799511708E0,2.513856506E1,4.211569977E1,1.184140015E1
2.889623708E0,2.523307800E1,4.218282318E1,9.588531494E0
2.979735708E0,2.569032288E1,4.234601593E1,1.081112671E1
3.069846708E0,2.776957703E1,4.248139954E1,1.404165649E1
3.159958708E0,2.957066345E1,4.210598755E1,1.616394043E1
3.250070208E0,2.731440735E1,4.302513123E1,1.663897705E1
3.340182208E0,2.587145996E1,4.351500702E1,1.262756348E1
3.430294208E0,2.587840271E1,4.210608673E1,9.180725098E0
